infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 2p-s,imperative 1p-p,imperative 2p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,past imperative 2p-s,past imperative 1p-p,past imperative 2p-p,gerund
accorder,to admit,False,accorde,accordes,accorde,accordons,accordez,accordent,accordais,accordais,accordait,accordions,accordiez,accordaient,accordai,accordas,accorda,accordâmes,accordâtes,accordèrent,accorderai,accorderas,accordera,accorderons,accorderez,accorderont,accorderais,accorderais,accorderait,accorderions,accorderiez,accorderaient,accorde,accordes,accorde,accordions,accordiez,accordent,accordasse,accordasses,accordât,accordassions,accordassiez,accordassent,accorde,accordons,accordez,ai accordé,as accordé,a accordé,avons accordé,avez accordé,ont accordé,avais accordé,avais accordé,avait accordé,avions accordé,aviez accordé,avaient accordé,aurai accordé,auras accordé,aura accordé,aurons accordé,aurez accordé,auront accordé,aurais accordé,aurais accordé,aurait accordé,aurions accordé,auriez accordé,auraient accordé,aie accordé,aies accordé,ait accordé,ayons accordé,ayez accordé,aient accordé,eusse accordé,eusses accordé,eût accordé,eussions accordé,eussiez accordé,eussent accordé,eus accordé,eus accordé,eut accordé,eûmes accordé,eûtes accordé,eurent accordé,aie accordé,ayons accordé,ayez accordé,accordant
acclamer,"to cheer, acclaim",False,acclame,acclames,acclame,acclamons,acclamez,acclament,acclamais,acclamais,acclamait,acclamions,acclamiez,acclamaient,acclamai,acclamas,acclama,acclamâmes,acclamâtes,acclamèrent,acclamerai,acclameras,acclamera,acclamerons,acclamerez,acclameront,acclamerais,acclamerais,acclamerait,acclamerions,acclameriez,acclameraient,acclame,acclames,acclame,acclamions,acclamiez,acclament,acclamasse,acclamasses,acclamât,acclamassions,acclamassiez,acclamassent,acclame,acclamons,acclamez,ai acclamé,as acclamé,a acclamé,avons acclamé,avez acclamé,ont acclamé,avais acclamé,avais acclamé,avait acclamé,avions acclamé,aviez acclamé,avaient acclamé,aurai acclamé,auras acclamé,aura acclamé,aurons acclamé,aurez acclamé,auront acclamé,aurais acclamé,aurais acclamé,aurait acclamé,aurions acclamé,auriez acclamé,auraient acclamé,aie acclamé,aies acclamé,ait acclamé,ayons acclamé,ayez acclamé,aient acclamé,eusse acclamé,eusses acclamé,eût acclamé,eussions acclamé,eussiez acclamé,eussent acclamé,eus acclamé,eus acclamé,eut acclamé,eûmes acclamé,eûtes acclamé,eurent acclamé,aie acclamé,ayons acclamé,ayez acclamé,acclamant
affaiblir,to weaken,False,affaiblis,affaiblis,affaiblit,affaiblissons,affaiblissez,affaiblissent,affaiblissais,affaiblissais,affaiblissait,affaiblissions,affaiblissiez,affaiblissaient,affaiblis,affaiblis,affaiblit,affaiblîmes,affaiblîtes,affaiblirent,affaiblirai,affaibliras,affaiblira,affaiblirons,affaiblirez,affaibliront,affaiblirais,affaiblirais,affaiblirait,affaiblirions,affaibliriez,affaibliraient,affaiblisse,affaiblisses,affaiblisse,affaiblissions,affaiblissiez,affaiblissent,affaiblisse,affaiblisses,affaiblît,affaiblissions,affaiblissiez,affaiblissent,affaiblis,affaiblissons,affaiblissez,ai affaibli,as affaibli,a affaibli,avons affaibli,avez affaibli,ont affaibli,avais affaibli,avais affaibli,avait affaibli,avions affaibli,aviez affaibli,avaient affaibli,aurai affaibli,auras affaibli,aura affaibli,aurons affaibli,aurez affaibli,auront affaibli,aurais affaibli,aurais affaibli,aurait affaibli,aurions affaibli,auriez affaibli,auraient affaibli,aie affaibli,aies affaibli,ait affaibli,ayons affaibli,ayez affaibli,aient affaibli,eusse affaibli,eusses affaibli,eût affaibli,eussions affaibli,eussiez affaibli,eussent affaibli,eus affaibli,eus affaibli,eut affaibli,eûmes affaibli,eûtes affaibli,eurent affaibli,aie affaibli,ayons affaibli,ayez affaibli,affaiblissant
adjoindre,to appoint,True,adjoins,adjoins,adjoint,adjoignons,adjoignez,adjoignent,adjoignais,adjoignais,adjoignait,adjoignions,adjoigniez,adjoignaient,adjoignis,adjoignis,adjoignit,adjoignîmes,adjoignîtes,adjoignirent,adjoindrai,adjoindras,adjoindra,adjoindrons,adjoindrez,adjoindront,adjoindrais,adjoindrais,adjoindrait,adjoindrions,adjoindriez,adjoindraient,adjoigne,adjoignes,adjoigne,adjoignions,adjoigniez,adjoignent,adjoignisse,adjoignisses,adjoignît,adjoignissions,adjoignissiez,adjoignissent,adjoins,adjoignons,adjoignez,ai adjoint,as adjoint,a adjoint,avons adjoint,avez adjoint,ont adjoint,avais adjoint,avais adjoint,avait adjoint,avions adjoint,aviez adjoint,avaient adjoint,aurai adjoint,auras adjoint,aura adjoint,aurons adjoint,aurez adjoint,auront adjoint,aurais adjoint,aurais adjoint,aurait adjoint,aurions adjoint,auriez adjoint,auraient adjoint,aie adjoint,aies adjoint,ait adjoint,ayons adjoint,ayez adjoint,aient adjoint,eusse adjoint,eusses adjoint,eût adjoint,eussions adjoint,eussiez adjoint,eussent adjoint,eus adjoint,eus adjoint,eut adjoint,eûmes adjoint,eûtes adjoint,eurent adjoint,aie adjoint,ayons adjoint,ayez adjoint,adjoignant
accrocher,to hang (up),False,accroche,accroches,accroche,accrochons,accrochez,accrochent,accrochais,accrochais,accrochait,accrochions,accrochiez,accrochaient,accrochai,accrochas,accrocha,accrochâmes,accrochâtes,accrochèrent,accrocherai,accrocheras,accrochera,accrocherons,accrocherez,accrocheront,accrocherais,accrocherais,accrocherait,accrocherions,accrocheriez,accrocheraient,accroche,accroches,accroche,accrochions,accrochiez,accrochent,accrochasse,accrochasses,accrochât,accrochassions,accrochassiez,accrochassent,accroche,accrochons,accrochez,ai accroché,as accroché,a accroché,avons accroché,avez accroché,ont accroché,avais accroché,avais accroché,avait accroché,avions accroché,aviez accroché,avaient accroché,aurai accroché,auras accroché,aura accroché,aurons accroché,aurez accroché,auront accroché,aurais accroché,aurais accroché,aurait accroché,aurions accroché,auriez accroché,auraient accroché,aie accroché,aies accroché,ait accroché,ayons accroché,ayez accroché,aient accroché,eusse accroché,eusses accroché,eût accroché,eussions accroché,eussiez accroché,eussent accroché,eus accroché,eus accroché,eut accroché,eûmes accroché,eûtes accroché,eurent accroché,aie accroché,ayons accroché,ayez accroché,accrochant
advenir,to happen,True,adviens,adviens,advient,advenons,advenez,adviennent,advenais,advenais,advenait,advenions,adveniez,advenaient,advins,advins,advint,advînmes,advîntes,advinrent,adviendrai,adviendras,adviendra,adviendrons,adviendrez,adviendront,adviendrais,adviendrais,adviendrait,adviendrions,adviendriez,adviendraient,advienne,adviennes,advienne,advenions,adveniez,adviennent,advinsse,advinsses,advînt,advinssions,advinssiez,advinssent,adviens,advenons,advenez,suis advenu,es advenu,est advenu,sommes advenu,êtes advenu,sont advenu,étais advenu,étais advenu,était advenu,étions advenu,étiez advenu,étaient advenu,serai advenu,seras advenu,sera advenu,serons advenu,serez advenu,seront advenu,serais advenu,serais advenu,serait advenu,serions advenu,seriez advenu,seraient advenu,sois advenu,sois advenu,soit advenu,soyons advenu,soyez advenu,soient advenu,fusse advenu,fusses advenu,fût advenu,fussions advenu,fussiez advenu,fussent advenu,fus advenu,fus advenu,fut advenu,fûmes advenu,fûtes advenu,fûrent advenu,sois advenu,soyons advenu,soyez advenu,advenant
asseoir,to sit down,True,assieds,assieds,assied,asseyons,asseyez,asseyent,asseyais,asseyais,asseyait,asseyions,asseyiez,asseyaient,assis,assis,assit,assîmes,assîtes,assirent,assiérai,assiéras,assiéra,assiérons,assiérez,assiéront,assiérais,assiérais,assiérait,assiérions,assiériez,assiéraient,asseye,asseyes,asseye,asseyions,asseyiez,asseyent,assisse,assisses,assît,assissions,assissiez,assissent,assieds,asseyons,asseyez,suis assis,es assis,est assis,sommes assis,êtes assis,sont assis,étais assis,étais assis,était assis,étions assis,étiez assis,étaient assis,serai assis,seras assis,sera assis,serons assis,serez assis,seront assis,serais assis,serais assis,serait assis,serions assis,seriez assis,seraient assis,sois assis,sois assis,soit assis,soyons assis,soyez assis,soient assis,fusse assis,fusses assis,fût assis,fussions assis,fussiez assis,fussent assis,fus assis,fus assis,fut assis,fûmes assis,fûtes assis,fûrent assis,sois assis,soyons assis,soyez assis,asseyant
annoncer,to announce,False,annonce,annonces,annonce,annonçons,annoncez,annoncent,annonçais,annonçais,annonçait,annoncions,annonciez,annonçaient,annonçai,annonças,annonça,annonçâmes,annonçâtes,annoncèrent,annoncerai,annonceras,annoncera,annoncerons,annoncerez,annonceront,annoncerais,annoncerais,annoncerait,annoncerions,annonceriez,annonceraient,annonce,annonces,annonce,annoncions,annonciez,annoncent,annonçasse,annonçasses,annonçât,annonçassions,annonçassiez,annonçassent,annonce,annonçons,annoncez,ai annoncé,as annoncé,a annoncé,avons annoncé,avez annoncé,ont annoncé,avais annoncé,avais annoncé,avait annoncé,avions annoncé,aviez annoncé,avaient annoncé,aurai annoncé,auras annoncé,aura annoncé,aurons annoncé,aurez annoncé,auront annoncé,aurais annoncé,aurais annoncé,aurait annoncé,aurions annoncé,auriez annoncé,auraient annoncé,aie annoncé,aies annoncé,ait annoncé,ayons annoncé,ayez annoncé,aient annoncé,eusse annoncé,eusses annoncé,eût annoncé,eussions annoncé,eussiez annoncé,eussent annoncé,eus annoncé,eus annoncé,eut annoncé,eûmes annoncé,eûtes annoncé,eurent annoncé,aie annoncé,ayons annoncé,ayez annoncé,annonçant
apprendre,to learn,True,apprends,apprends,apprend,apprenons,apprenez,apprennent,apprenais,apprenais,apprenait,apprenions,appreniez,apprenaient,appris,appris,apprit,apprîmes,apprîtes,apprirent,apprendrai,apprendras,apprendra,apprendrons,apprendrez,apprendront,apprendrais,apprendrais,apprendrait,apprendrions,apprendriez,apprendraient,apprenne,apprennes,apprenne,apprenions,appreniez,apprennent,apprisse,apprisses,apprît,apprissions,apprissiez,apprissent,apprends,apprenons,apprenez,ai appris,as appris,a appris,avons appris,avez appris,ont appris,avais appris,avais appris,avait appris,avions appris,aviez appris,avaient appris,aurai appris,auras appris,aura appris,aurons appris,aurez appris,auront appris,aurais appris,aurais appris,aurait appris,aurions appris,auriez appris,auraient appris,aie appris,aies appris,ait appris,ayons appris,ayez appris,aient appris,eusse appris,eusses appris,eût appris,eussions appris,eussiez appris,eussent appris,eus appris,eus appris,eut appris,eûmes appris,eûtes appris,eurent appris,aie appris,ayons appris,ayez appris,apprenant
arracher,to pull up/out,False,arrache,arraches,arrache,arrachons,arrachez,arrachent,arrachais,arrachais,arrachait,arrachions,arrachiez,arrachaient,arrachai,arrachas,arracha,arrachâmes,arrachâtes,arrachèrent,arracherai,arracheras,arrachera,arracherons,arracherez,arracheront,arracherais,arracherais,arracherait,arracherions,arracheriez,arracheraient,arrache,arraches,arrache,arrachions,arrachiez,arrachent,arrachasse,arrachasses,arrachât,arrachassions,arrachassiez,arrachassent,arrache,arrachons,arrachez,ai arraché,as arraché,a arraché,avons arraché,avez arraché,ont arraché,avais arraché,avais arraché,avait arraché,avions arraché,aviez arraché,avaient arraché,aurai arraché,auras arraché,aura arraché,aurons arraché,aurez arraché,auront arraché,aurais arraché,aurais arraché,aurait arraché,aurions arraché,auriez arraché,auraient arraché,aie arraché,aies arraché,ait arraché,ayons arraché,ayez arraché,aient arraché,eusse arraché,eusses arraché,eût arraché,eussions arraché,eussiez arraché,eussent arraché,eus arraché,eus arraché,eut arraché,eûmes arraché,eûtes arraché,eurent arraché,aie arraché,ayons arraché,ayez arraché,arrachant
animer,to bring to life (a party),False,anime,animes,anime,animons,animez,animent,animais,animais,animait,animions,animiez,animaient,animai,animas,anima,animâmes,animâtes,animèrent,animerai,animeras,animera,animerons,animerez,animeront,animerais,animerais,animerait,animerions,animeriez,animeraient,anime,animes,anime,animions,animiez,animent,animasse,animasses,animât,animassions,animassiez,animassent,anime,animons,animez,ai animé,as animé,a animé,avons animé,avez animé,ont animé,avais animé,avais animé,avait animé,avions animé,aviez animé,avaient animé,aurai animé,auras animé,aura animé,aurons animé,aurez animé,auront animé,aurais animé,aurais animé,aurait animé,aurions animé,auriez animé,auraient animé,aie animé,aies animé,ait animé,ayons animé,ayez animé,aient animé,eusse animé,eusses animé,eût animé,eussions animé,eussiez animé,eussent animé,eus animé,eus animé,eut animé,eûmes animé,eûtes animé,eurent animé,aie animé,ayons animé,ayez animé,animant
apporter,to bring,False,apporte,apportes,apporte,apportons,apportez,apportent,apportais,apportais,apportait,apportions,apportiez,apportaient,apportai,apportas,apporta,apportâmes,apportâtes,apportèrent,apporterai,apporteras,apportera,apporterons,apporterez,apporteront,apporterais,apporterais,apporterait,apporterions,apporteriez,apporteraient,apporte,apportes,apporte,apportions,apportiez,apportent,apportasse,apportasses,apportât,apportassions,apportassiez,apportassent,apporte,apportons,apportez,ai apporté,as apporté,a apporté,avons apporté,avez apporté,ont apporté,avais apporté,avais apporté,avait apporté,avions apporté,aviez apporté,avaient apporté,aurai apporté,auras apporté,aura apporté,aurons apporté,aurez apporté,auront apporté,aurais apporté,aurais apporté,aurait apporté,aurions apporté,auriez apporté,auraient apporté,aie apporté,aies apporté,ait apporté,ayons apporté,ayez apporté,aient apporté,eusse apporté,eusses apporté,eût apporté,eussions apporté,eussiez apporté,eussent apporté,eus apporté,eus apporté,eut apporté,eûmes apporté,eûtes apporté,eurent apporté,aie apporté,ayons apporté,ayez apporté,apportant
arranger,to arrange,False,arrange,arranges,arrange,arrangeons,arrangez,arrangent,arrangeais,arrangeais,arrangeait,arrangions,arrangiez,arrangeaient,arrangeai,arrangeas,arrangea,arrangeâmes,arrangeâtes,arrangèrent,arrangerai,arrangeras,arrangera,arrangerons,arrangerez,arrangeront,arrangerais,arrangerais,arrangerait,arrangerions,arrangeriez,arrangeraient,arrange,arranges,arrange,arrangions,arrangiez,arrangent,arrangeasse,arrangeasses,arrangeât,arrangeassions,arrangeassiez,arrangeassent,arrange,arrangeons,arrangez,ai arrangé,as arrangé,a arrangé,avons arrangé,avez arrangé,ont arrangé,avais arrangé,avais arrangé,avait arrangé,avions arrangé,aviez arrangé,avaient arrangé,aurai arrangé,auras arrangé,aura arrangé,aurons arrangé,aurez arrangé,auront arrangé,aurais arrangé,aurais arrangé,aurait arrangé,aurions arrangé,auriez arrangé,auraient arrangé,aie arrangé,aies arrangé,ait arrangé,ayons arrangé,ayez arrangé,aient arrangé,eusse arrangé,eusses arrangé,eût arrangé,eussions arrangé,eussiez arrangé,eussent arrangé,eus arrangé,eus arrangé,eut arrangé,eûmes arrangé,eûtes arrangé,eurent arrangé,aie arrangé,ayons arrangé,ayez arrangé,arrangeant
apparaître,to appear,True,apparais,apparais,apparaît,apparaissons,apparaissez,apparaissent,apparaissais,apparaissais,apparaissait,apparaissions,apparaissiez,apparaissaient,apparus,apparus,apparut,apparûmes,apparûtes,apparurent,apparaîtrai,apparaîtras,apparaîtra,apparaîtrons,apparaîtrez,apparaîtront,apparaîtrais,apparaîtrais,apparaîtrait,apparaîtrions,apparaîtriez,apparaîtraient,apparaisse,apparaisses,apparaisse,apparaissions,apparaissiez,apparaissent,apparusse,apparusses,apparût,apparussions,apparussiez,apparussent,apparais,apparaissons,apparaissez,suis apparu,es apparu,est apparu,sommes apparu,êtes apparu,sont apparu,étais apparu,étais apparu,était apparu,étions apparu,étiez apparu,étaient apparu,serai apparu,seras apparu,sera apparu,serons apparu,serez apparu,seront apparu,serais apparu,serais apparu,serait apparu,serions apparu,seriez apparu,seraient apparu,sois apparu,sois apparu,soit apparu,soyons apparu,soyez apparu,soient apparu,fusse apparu,fusses apparu,fût apparu,fussions apparu,fussiez apparu,fussent apparu,fus apparu,fus apparu,fut apparu,fûmes apparu,fûtes apparu,fûrent apparu,sois apparu,soyons apparu,soyez apparu,apparaissant
astreindre,to compel,True,astreins,astreins,astreint,astreignons,astreignez,astreignent,astreignais,astreignais,astreignait,astreignions,astreigniez,astreignaient,astreignis,astreignis,astreignit,astreignîmes,astreignîtes,astreignirent,astreindrai,astreindras,astreindra,astreindrons,astreindrez,astreindront,astreindrais,astreindrais,astreindrait,astreindrions,astreindriez,astreindraient,astreigne,astreignes,astreigne,astreignions,astreigniez,astreignent,astreignisse,astreignisses,astreignît,astreignissions,astreignissiez,astreignissent,astreins,astreignons,astreignez,ai astreint,as astreint,a astreint,avons astreint,avez astreint,ont astreint,avais astreint,avais astreint,avait astreint,avions astreint,aviez astreint,avaient astreint,aurai astreint,auras astreint,aura astreint,aurons astreint,aurez astreint,auront astreint,aurais astreint,aurais astreint,aurait astreint,aurions astreint,auriez astreint,auraient astreint,aie astreint,aies astreint,ait astreint,ayons astreint,ayez astreint,aient astreint,eusse astreint,eusses astreint,eût astreint,eussions astreint,eussiez astreint,eussent astreint,eus astreint,eus astreint,eut astreint,eûmes astreint,eûtes astreint,eurent astreint,aie astreint,ayons astreint,ayez astreint,astreignant
assurer,to assure,False,assure,assures,assure,assurons,assurez,assurent,assurais,assurais,assurait,assurions,assuriez,assuraient,assurai,assuras,assura,assurâmes,assurâtes,assurèrent,assurerai,assureras,assurera,assurerons,assurerez,assureront,assurerais,assurerais,assurerait,assurerions,assureriez,assureraient,assure,assures,assure,assurions,assuriez,assurent,assurasse,assurasses,assurât,assurassions,assurassiez,assurassent,assure,assurons,assurez,ai assuré,as assuré,a assuré,avons assuré,avez assuré,ont assuré,avais assuré,avais assuré,avait assuré,avions assuré,aviez assuré,avaient assuré,aurai assuré,auras assuré,aura assuré,aurons assuré,aurez assuré,auront assuré,aurais assuré,aurais assuré,aurait assuré,aurions assuré,auriez assuré,auraient assuré,aie assuré,aies assuré,ait assuré,ayons assuré,ayez assuré,aient assuré,eusse assuré,eusses assuré,eût assuré,eussions assuré,eussiez assuré,eussent assuré,eus assuré,eus assuré,eut assuré,eûmes assuré,eûtes assuré,eurent assuré,aie assuré,ayons assuré,ayez assuré,assurant
